Process,MEC,THE,ELE,MAG,CHE,RAD,TIME_1,TIME_2,VOL_CHANGE,VOL_1,VOL_2,TOOL_SPE,SURFQ_1,SURFQ_2,IT_1,IT_2,MET,POLYMER,WOOD,CERAMIC,GLASS,GEOM_COM,TOOL_COST,EQUIP_COST,DEF,REM,ADD
Bending Hemming,1,0,0,0,0,0,0,2,1,0,7,0,3,5,13,15,1,0,0,0,0,2,2,1,1,0,0
Cold Continuous Extrusion,1,0,0,0,0,0,0,2,1,3,8,0,2,4,8,10,1,0,0,0,0,2,3,3,1,0,0
Forging open die,3,2,0,0,0,0,3,5,1,4,9,0,3,4,12,15,1,0,0,0,0,1,3,3,1,0,0
Forging closed die,4,3,0,0,0,0,2,3,1,4,10,0,2,4,5,10,1,0,0,0,0,2,3,4,1,0,0
Hot Rolling,2,2,0,0,0,0,1,2,1,0,4,0,2,3,5,7,1,0,0,0,0,1,2,2,1,0,0
Cold Rolling,3,0,0,0,0,0,1,3,1,0,4,0,1,2,6,8,1,0,0,0,0,1,3,3,1,0,0
Stamping pressing,3,0,0,0,0,0,1,2,1,0,9,1,2,3,11,13,1,0,0,0,0,2,1,1,1,0,0
Cold Drawing,3,0,0,0,0,0,0,2,1,2,7,0,2,3,5,7,1,1,0,0,0,2,2,2,1,0,0
Abrasive Jet Machining,2,0,0,0,0,0,1,3,0,1,4,0,1,2,8,11,1,1,0,1,1,2,3,3,0,1,0
Biomachining,0,0,0,0,3,0,4,5,0,0,1,1,2,3,5,6,1,0,0,0,0,1,1,2,0,1,0
Broaching,1,0,0,0,0,0,1,2,0,3,4,0,2,3,5,8,1,0,0,0,0,1,3,1,0,1,0
Countersinking Boring,1,0,0,0,0,0,0,1,0,2,3,0,1,4,6,9,1,0,0,0,0,1,1,1,0,1,0
Drilling,1,0,0,0,0,0,1,2,0,3,5,0,2,4,9,10,1,1,1,0,1,1,1,1,0,1,0
Electrochemical Machining,0,0,3,0,3,0,1,4,0,2,3,1,2,3,4,6,1,0,0,0,0,2,4,3,0,1,0
Electron Beam Machining,0,5,4,2,0,0,1,3,0,3,4,1,5,6,5,6,1,1,0,1,1,2,4,4,0,1,0
Gashing,1,0,0,0,0,0,1,3,0,3,4,0,3,4,8,9,1,1,0,1,0,1,1,1,0,1,0
Grinding,1,0,0,0,0,0,1,2,0,0,2,0,1,3,3,7,1,0,1,0,1,1,1,2,0,1,0
Laser Beam Machining,0,5,3,3,0,3,1,2,0,1,3,1,2,4,6,9,1,1,1,0,1,2,4,4,0,1,0
Lathe Turning,2,0,0,0,0,0,2,3,0,2,4,0,1,3,5,11,1,1,1,0,1,2,2,3,0,1,0
Milling,2,0,0,0,0,0,2,3,0,2,4,0,1,3,7,12,1,0,1,0,1,2,2,2,0,1,0
Chemical Machining,0,0,0,0,3,0,3,5,0,2,3,1,2,3,6,7,1,0,0,1,1,2,1,1,0,1,0
Reaming,1,0,0,0,0,0,1,2,0,1,2,0,2,3,3,7,1,0,1,0,0,1,1,1,0,1,0
Route Machining,1,0,0,0,0,0,2,3,0,3,4,1,3,4,9,13,1,1,1,0,0,1,1,1,0,1,0
Tapping Tap and die,1,0,0,0,0,0,1,2,0,3,4,0,2,3,6,9,1,1,0,0,0,1,1,1,0,1,0
Ultrasonic Machining,2,0,0,1,0,0,3,4,0,1,4,0,1,4,4,7,1,0,0,1,1,3,3,2,0,1,0
Water Jet Machining,5,0,0,0,0,0,2,4,0,4,6,0,5,6,11,13,1,1,1,1,1,2,3,3,0,1,0
